CUSIP,Security Description,Ticker,Coupon,Maturity,Price,Current Face (m),Market Value,Market Value %,Yield to Worst,Duration,Spread Duration,OAS,WAL to Maturity,Structure,MSCI ESG Rating,Fitch Rating,Moody's Rating,S&P Rating,Barclays Sub Sector,Barclays Industry,Barclays Sub Industry,Country Name,Custom DxS(O),KRD Contribution 3M,KRD Contribution 1Y,KRD Contribution 2Y,KRD Contribution 3Y,KRD Contribution 5Y,KRD Contribution 7Y,KRD Contribution 10Y,KRD Contribution 15Y,KRD Contribution 20Y,KRD Contribution 25Y,KRD Contribution 30Y,KRD Contribution 40Y,KRD Contribution 50Y
369604BL6,GENERAL ELECTRIC CO,GE,1.875,1811462400000000000,95.500203,466901.0,453976.06151804636,3.394641702648657e-05,3.440623156668066,2.87334372107087,2.905503137420407,61.94573207559553,3.076502732240438,SENIOR,A,BBB+,Baa1,BBB+,Industrial,Capital Goods,Aerospace/Defense,United States,1.7998351889544677,5.571424553173122e-08,6.095816054319983e-07,4.298152864182698e-06,8.930495888295943e-05,3.2713166178025793e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452308AW9,ILLINOIS TOOL WORKS INC,ITW,2.125,1905638400000000000,93.053823,500000.0,475255.4537978142,3.55376003192437e-05,3.412833059444464,5.492943124479704,5.5522351081183,81.57600882495477,6.060109289617486,SENIOR,A,NR,A1,A+,Industrial,Capital Goods,Diversified Manufacturing,United States,4.529291801780821,5.527802658388178e-08,7.410605322732859e-07,1.4462041721583385e-06,3.4666499585702096e-06,9.627893518898592e-05,9.321788945552578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459200HR5,INTERNATIONAL BUSINESS MACHINES CO,IBM,2.875,1762473600000000000,98.801931,1000000.0,1001765.8946994536,7.490783260832195e-05,3.690049407857376,1.470046576894158,1.493362983393462,47.66163781314868,1.521857923497268,SENIOR,AA,A-,A3,A-,Industrial,Technology,Technology,United States,0.7117612563806236,6.75871528891805e-07,5.127762686834146e-05,5.816450451119098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478160CB8,JOHNSON & JOHNSON,JNJ,1.15,1858291200000000000,91.443354,750000.0,689642.7779508197,5.1568581086279536e-05,3.196335508657255,4.348645658262197,4.39794628388321,54.40030146522825,4.557377049180328,SENIOR,A,NR,Aaa,AAA,Industrial,Consumer Non-Cyclical,Pharmaceuticals,United States,2.3924960367112695,2.0066732471817906e-07,5.536617205199225e-07,1.1774769927278956e-06,5.34429236258715e-05,0.00016887875657975405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478160CC6,JOHNSON & JOHNSON,JNJ,1.65,2063232000000000000,85.332771,1500000.0,1303389.1059836065,9.74619454416765e-05,3.250490794360794,9.768693698471779,9.886119385801745,60.265321282766045,11.05464480874317,SENIOR,A,NR,Aaa,AAA,Industrial,Consumer Non-Cyclical,Pharmaceuticals,United States,5.9579016102512385,1.1946631521216206e-07,1.7342366732998382e-06,3.389891446741555e-06,8.13733978716104e-06,1.557085883639582e-05,2.6568465534484758e-05,0.0007174557543765355,0.000179099879307075,0.0,0.0,0.0,0.0,0.0
50213A9K3,ITALY (REPUBLIC OF)        RegS,BTPS,6.0,1935360000000000000,115.098671,32254500.0,38086820.296095,0.0028479719407687267,3.577567190195685,5.700585309024649,5.773082513016671,97.97240394266552,7.002747252747254,SENIOR,BBB,BBB,Baa3,BBB,Treasury,Treasury,Treasury,Italy,5.6560277195960795,2.424405748786594e-05,0.00012912198285039127,0.00026246954370894395,0.0006293612095164821,0.0012010206981348654,0.013916166072626187,7.272344173588482e-05,0.0,0.0,0.0,0.0,0.0,0.0
532457BM9,ELI LILLY AND COMPANY,LLY,1.625,1780358400000000000,96.405893,750000.0,734132.8245491803,5.4895359309575205e-05,3.435221437276548,1.975744379491128,2.000121351383774,39.9845419996636,2.090163934426229,SENIOR,A,NR,A1,A+,Industrial,Consumer Non-Cyclical,Pharmaceuticals,United States,0.7997393617882842,9.216412436454824e-08,3.0248856949408656e-06,9.651802556451315e-05,8.824122232220604e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58933YAL9,MERCK & CO INC,MRK,1.875,1792022400000000000,96.47499,1000000.0,974893.3426229508,7.289841639306038e-05,3.389885191276543,2.312361642978737,2.338335377909573,44.74213463802581,2.459016393442623,SENIOR,A,WD,A1,A+,Industrial,Consumer Non-Cyclical,Pharmaceuticals,United States,1.0462211630728908,4.434389576367684e-07,1.2014377268035364e-06,9.790439326800173e-05,6.901823194876317e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609207AE5,MONDELEZ INTERNATIONAL INC,MDLZ,1.625,1804464000000000000,95.080483,750000.0,714873.314280822,5.345521428274408e-05,3.463205367300914,2.727713766421154,2.759353913807925,60.99037707119041,2.854794520547946,SENIOR,A,NR,Baa1,BBB,Industrial,Consumer Non-Cyclical,Food and Beverage,United States,1.6829403567601036,1.287432799804369e-07,8.268086088741287e-07,2.6356011245040685e-05,0.00011849896075213848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609207AF2,MONDELEZ INTERNATIONAL INC,MDLZ,2.375,2056752000000000000,87.984765,435377.0,384623.54320788564,2.876052792801441e-05,3.742134760876792,9.403364640172757,9.51531182065937,108.55891643586416,10.84931506849315,SENIOR,A,NR,Baa1,BBB,Industrial,Consumer Non-Cyclical,Food and Beverage,United States,10.32971940800151,1.1715685610724734e-07,6.942749067166958e-07,1.3906694672638423e-06,3.3612333587411883e-06,6.338723376797022e-06,1.0689163549872417e-05,0.00020910512051258948,3.874938932290386e-05,0.0,0.0,0.0,0.0,0.0
615369AR6,MOODYS CORPORATION,MCO,0.95,1898208000000000000,86.091548,750000.0,646951.978852459,4.8376343009802676e-05,3.643752274363909,5.583233859505493,5.649079841653884,104.81201580444866,5.8224043715847,SENIOR,AA,BBB+,NR,BBB+,Industrial,Technology,Technology,United States,5.920914456440192,9.280781649128117e-08,4.7456465112294087e-07,9.645373538454019e-07,2.3051663174134292e-06,0.000158625792919606,0.00010763356723290316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63982A9P4,NETHERLANDS (KINGDOM OF),NETHER,5.5,1831507200000000000,109.186385,13027968.0,14432289.302091226,0.0010791857827424545,2.851203287725812,3.384368650926729,3.430080349207356,12.202201258870396,3.710382513661202,SENIOR,A,AAA,Aaa,AAA,Treasury,Treasury,Treasury,Netherlands,0.4185453075512461,1.3573909259676561e-05,4.7058825247552134e-05,9.868522206317485e-05,0.00225780766634283,0.0012352369087261532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693506BK2,PPG INDUSTRIES INC,PPG,1.4,1804896000000000000,94.430624,600000.0,567688.4015342465,4.244934667951656e-05,3.472345756550266,2.76248114804987,2.795756268065134,62.011447463373,2.868493150684932,SENIOR,AA,BBB+,A3,BBB+,Industrial,Basic Industry,Chemicals,United States,1.7336889293751683,8.383050756621126e-08,5.683526622944788e-07,1.7697579503098283e-05,9.891575727623887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717081EH2,PFIZER INC,PFE,1.0,1804291200000000000,93.659862,750000.0,703579.1019863014,5.261068067616266e-05,3.370160674010347,2.76451390744405,2.799224997639452,52.2252384515133,2.849315068493151,SENIOR,A,A,A2,A,Industrial,Consumer Non-Cyclical,Pharmaceuticals,United States,1.4619019298115714,8.511647507169097e-08,5.051933187673408e-07,2.312402448579603e-05,0.00012172862412971454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718172BH1,PHILIP MORRIS INTERNATIONAL INC MTN,PM,2.875,1772496000000000000,98.317181,1000000.0,987740.303150685,7.385905796992896e-05,3.834963525129376,1.783809638008165,1.811149527945833,72.41600971887529,1.841095890410959,SENIOR,BBB,A,A2,A-,Industrial,Consumer Non-Cyclical,Tobacco,United States,1.3115622181806181,3.418832006293469e-07,2.0800881536879725e-05,0.00011060773472345396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718172BK4,PHILIP MORRIS INTERNATIONAL INC,PM,2.875,1873411200000000000,95.759876,500000.0,492624.51661202183,3.683638565096078e-05,3.815533417820638,4.56343782629182,4.622406774071671,117.38898537363725,5.038251366120218,SENIOR,BBB,A,A2,A-,Industrial,Consumer Non-Cyclical,Tobacco,United States,5.4261964119250115,5.255749784459826e-08,1.0005933865541924e-06,1.942298843358546e-06,4.687413691990735e-06,0.0001565743096008832,3.84338264283643e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718172CM9,PHILIP MORRIS INTERNATIONAL INC,PM,1.45,2195769600000000000,66.451366,750000.0,506496.9253278688,3.7873705922552436e-05,4.546597821179832,12.957725698042758,13.128446611999694,173.1226002181918,15.254098360655737,SENIOR,BBB,A,A2,A-,Industrial,Consumer Non-Cyclical,Tobacco,United States,22.728308142950972,2.024674237728968e-07,7.02729712719698e-07,1.445311989986121e-06,3.4492897612690725e-06,6.448907795694205e-06,1.0722242299395336e-05,2.1408525489750413e-05,0.000425143931275675,2.123368676450912e-05,0.0,0.0,0.0,0.0
74340XBB6,PROLOGIS LP,PLD,3.0,1780358400000000000,98.445764,500000.0,505876.36098360654,3.7827302735671494e-05,3.785048092164822,1.874730101698723,1.894561487768676,69.98526276702346,2.090163934426229,SENIOR,A,NR,A3,A,Financial Institutions,REIT,Other REIT,United States,1.325913835497737,1.1366357241608232e-07,5.5933169975337595e-06,6.1226381060175e-05,3.982621474508967e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74341EAA0,PROLOGIS EURO FINANCE LLC,PLD,1.875,1862265600000000000,91.75234,700000.0,646426.2160655737,4.833702868393066e-05,3.830476292654916,4.399931811380067,4.449295055133676,116.06888443751623,4.683060109289617,SENIOR,A,NR,A3,A,Financial Institutions,REIT,Other REIT,United States,5.16424713582723,2.5991058757194546e-07,8.515245366054851e-07,1.769728226869565e-06,3.8917470859450693e-05,0.0001708809959635196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74460DAE9,PUBLIC STORAGE OPERATING CO,PSA,0.875,1958515200000000000,80.882932,500000.0,405574.15453551913,3.0327126366508087e-05,3.769841748842562,7.361302170111217,7.449109154977896,118.39136111933576,7.734972677595628,SENIOR,A,NR,A2,A,Financial Institutions,REIT,Other REIT,United States,8.819101719843381,7.79488168353031e-08,2.826118866715587e-07,5.918020082253283e-07,1.4119957075891705e-06,2.662519799460202e-06,0.00016515697344639946,5.306328946983206e-05,0.0,0.0,0.0,0.0,0.0,0.0
74949LAA0,RELX CAPITAL INC,RELLN,1.3,1747008000000000000,97.512481,600000.0,592619.1482950819,4.431356287517913e-05,3.800837134901447,1.000016100460911,1.016681254550303,38.70798641714043,1.032786885245902,SENIOR,AAA,BBB+,A3,BBB+,Industrial,Technology,Technology,United Kingdom,0.3935368419169442,1.3202890417737266e-07,4.222882190371141e-05,1.9534255360772495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883556BU5,THERMO FISHER SCIENTIFIC INC,TMO,1.4,1769126400000000000,96.31905,700000.0,676857.3937158469,5.061254392512848e-05,3.627780025400429,1.68261042466609,1.706892173686599,48.78227460717698,1.73224043715847,SENIOR,BBB,A-,A3,A-,Industrial,Consumer Non-Cyclical,Healthcare,United States,0.832660827416209,1.76181369706704e-07,2.2936598305929596e-05,6.204841435165525e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883556BV3,THERMO FISHER SCIENTIFIC INC,TMO,1.95,1879545600000000000,93.03832,700000.0,661748.1580327869,4.948273894436907e-05,3.424650878796331,4.822850071836379,4.874667374038083,79.89849854552145,5.23224043715847,SENIOR,BBB,A-,A3,A-,Industrial,Consumer Non-Cyclical,Healthcare,United States,3.894786040944826,2.3994860283140623e-07,8.954386933766588e-07,1.855006340766031e-06,4.627601969687294e-06,0.0002098702824521177,2.1159553013732066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883556BW1,THERMO FISHER SCIENTIFIC INC,TMO,2.875,2132006400000000000,91.805581,700000.0,658090.2282021858,4.920921436453112e-05,3.666789409772164,10.633173270069287,10.764446944633775,92.5208118615313,13.232240437158469,SENIOR,BBB,A-,A3,A-,Industrial,Consumer Non-Cyclical,Healthcare,United States,9.95935370557897,3.542761986211709e-07,1.320187528059978e-06,2.7315966773470717e-06,6.5390547300535855e-06,1.2438519296140775e-05,2.1046658928317147e-05,0.00019533404011685775,0.00028348576934664443,0.0,0.0,0.0,0.0,0.0
88579YAN1,3M CO MTN,MMM,1.75,1905033600000000000,89.341999,500000.0,455101.38844262296,3.403056423227771e-05,3.754451890303967,5.590795363700555,5.661729487499603,115.95527606938317,6.040983606557377,SENIOR,AAA,A-,A3,BBB+,Industrial,Capital Goods,Diversified Manufacturing,United States,6.565074057531838,3.371350922221835e-08,6.095063354134377e-07,1.1832651784333013e-06,2.822234077475247e-06,9.011914774253419e-05,9.549005389085373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911312AX4,UNITED PARCEL SERVICE INC,UPS,1.0,1857859200000000000,89.504197,500000.0,449802.40576502733,3.3634328635210574e-05,3.540249598111256,4.362727072718541,4.414553747441242,87.99555109599544,4.543715846994536,SENIOR,A,NR,A2,A,Industrial,Transportation,Transportation Services,United States,3.8846108984898393,1.1675947709547249e-07,3.173987164693592e-07,6.797962920544202e-07,3.477391222889982e-05,0.00011084952939502656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92343VBW3,VERIZON COMMUNICATIONS INC MTN,VZ,3.25,1771286400000000000,99.325315,842980.0,842756.9394307157,6.30178129265596e-05,3.638499136342133,1.742686511297774,1.769500967215714,51.823297037466844,1.800546448087432,SENIOR,AA,A-,Baa1,BBB+,Industrial,Communications,Wirelines,United States,0.9170137423210483,3.864483509879498e-07,2.147047150338243e-05,8.796337270423154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
